tingkat,tahun,bulan,tanggal,jenis,harga
pedagang_eceran,2025,januari,24,daging_ayam_ras,35784
pedagang_eceran,2025,januari,25,daging_ayam_ras,35898
pedagang_eceran,2025,januari,26,daging_ayam_ras,35962
pedagang_eceran,2025,januari,27,daging_ayam_ras,
pedagang_eceran,2025,januari,28,daging_ayam_ras,
pedagang_eceran,2025,januari,29,daging_ayam_ras,
pedagang_eceran,2025,januari,30,daging_ayam_ras,35686
pedagang_eceran,2025,januari,31,daging_ayam_ras,35458
pedagang_eceran,2025,januari,1,telur_ayam_ras,31100
pedagang_eceran,2025,januari,2,telur_ayam_ras,30177
pedagang_eceran,2025,januari,3,telur_ayam_ras,30009
pedagang_eceran,2025,januari,4,telur_ayam_ras,29921
pedagang_eceran,2025,januari,5,telur_ayam_ras,29698
pedagang_eceran,2025,januari,6,telur_ayam_ras,29356
pedagang_eceran,2025,januari,7,telur_ayam_ras,29090
pedagang_eceran,2025,januari,8,telur_ayam_ras,28907
pedagang_eceran,2025,januari,9,telur_ayam_ras,28745
pedagang_eceran,2025,januari,10,telur_ayam_ras,28287
pedagang_eceran,2025,januari,11,telur_ayam_ras,28245
pedagang_eceran,2025,januari,12,telur_ayam_ras,28138
pedagang_eceran,2025,januari,13,telur_ayam_ras,27743
pedagang_eceran,2025,januari,14,telur_ayam_ras,27317
pedagang_eceran,2025,januari,15,telur_ayam_ras,27368
pedagang_eceran,2025,januari,16,telur_ayam_ras,27268
pedagang_eceran,2025,januari,17,telur_ayam_ras,26903
pedagang_eceran,2025,januari,18,telur_ayam_ras,26707
pedagang_eceran,2025,januari,19,telur_ayam_ras,26950
pedagang_eceran,2025,januari,20,telur_ayam_ras,26158
pedagang_eceran,2025,januari,21,telur_ayam_ras,26236
pedagang_eceran,2025,januari,22,telur_ayam_ras,26162
pedagang_eceran,2025,januari,23,telur_ayam_ras,25874
pedagang_eceran,2025,januari,24,telur_ayam_ras,25855
pedagang_eceran,2025,januari,25,telur_ayam_ras,25638
pedagang_eceran,2025,januari,26,telur_ayam_ras,25687
pedagang_eceran,2025,januari,27,telur_ayam_ras,
pedagang_eceran,2025,januari,28,telur_ayam_ras,
pedagang_eceran,2025,januari,29,telur_ayam_ras,
pedagang_eceran,2025,januari,30,telur_ayam_ras,25825
pedagang_eceran,2025,januari,31,telur_ayam_ras,25885
pedagang_eceran,2025,januari,1,gula,17200
pedagang_eceran,2025,januari,2,gula,17134
pedagang_eceran,2025,januari,3,gula,17104
pedagang_eceran,2025,januari,4,gula,17119
pedagang_eceran,2025,januari,5,gula,17062
pedagang_eceran,2025,januari,6,gula,17142
pedagang_eceran,2025,januari,7,gula,17147
pedagang_eceran,2025,januari,8,gula,17179
